================ Training Loss (Tue Dec 10 03:14:57 2024) ================
================ Training Loss (Tue Dec 10 03:31:22 2024) ================
(epoch: 27, iters: 1749504, time: 0.000, data: 0.189) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.144 G_L1_kong: 0.000 G_reg: 1.494 G_tea: 0.444 
(epoch: 28, iters: 1749504, time: 0.000, data: 0.012) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.145 G_L1_kong: 0.000 G_reg: 1.576 G_tea: 0.463 
(epoch: 29, iters: 1749504, time: 0.000, data: 0.019) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.124 G_L1_kong: 0.000 G_reg: 1.451 G_tea: 0.426 
(epoch: 30, iters: 1749504, time: 0.000, data: 0.017) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.130 G_L1_kong: 0.000 G_reg: 1.446 G_tea: 0.431 
(epoch: 31, iters: 1749504, time: 0.000, data: 0.014) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.125 G_L1_kong: 0.000 G_reg: 1.567 G_tea: 0.458 
(epoch: 32, iters: 1749504, time: 0.000, data: 0.021) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.118 G_L1_kong: 0.000 G_reg: 1.472 G_tea: 0.430 
(epoch: 33, iters: 1749504, time: 0.000, data: 0.089) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.106 G_L1_kong: 0.000 G_reg: 1.420 G_tea: 0.408 
(epoch: 34, iters: 1749504, time: 0.000, data: 0.018) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.108 G_L1_kong: 0.000 G_reg: 1.498 G_tea: 0.435 
(epoch: 35, iters: 1749504, time: 0.000, data: 0.114) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.105 G_L1_kong: 0.000 G_reg: 1.350 G_tea: 0.395 
(epoch: 36, iters: 1749504, time: 0.001, data: 0.016) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.101 G_L1_kong: 0.000 G_reg: 1.336 G_tea: 0.395 
(epoch: 37, iters: 1749504, time: 0.001, data: 0.051) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.094 G_L1_kong: 0.000 G_reg: 1.363 G_tea: 0.393 
(epoch: 38, iters: 1749504, time: 0.000, data: 0.018) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.084 G_L1_kong: 0.000 G_reg: 1.376 G_tea: 0.387 
(epoch: 39, iters: 1749504, time: 0.000, data: 0.017) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.089 G_L1_kong: 0.000 G_reg: 1.285 G_tea: 0.377 
(epoch: 40, iters: 1749504, time: 0.000, data: 0.017) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.080 G_L1_kong: 0.000 G_reg: 1.484 G_tea: 0.420 
(epoch: 41, iters: 1749504, time: 0.000, data: 0.134) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.080 G_L1_kong: 0.000 G_reg: 1.222 G_tea: 0.359 
(epoch: 42, iters: 1749504, time: 0.000, data: 0.016) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.071 G_L1_kong: 0.000 G_reg: 1.209 G_tea: 0.349 
(epoch: 43, iters: 1749504, time: 0.000, data: 0.020) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.079 G_L1_kong: 0.000 G_reg: 1.267 G_tea: 0.363 
(epoch: 44, iters: 1749504, time: 0.001, data: 0.018) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.074 G_L1_kong: 0.000 G_reg: 1.282 G_tea: 0.370 
(epoch: 45, iters: 1749504, time: 0.001, data: 0.017) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.065 G_L1_kong: 0.000 G_reg: 1.305 G_tea: 0.372 
(epoch: 46, iters: 1749504, time: 0.000, data: 0.018) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.060 G_L1_kong: 0.000 G_reg: 1.234 G_tea: 0.352 
